engine,uncompressed_size,compressed_size
bzip2,21741004,50
bzip2,21741005,50
bzip2,21741006,50
bzip2,21741007,50
bzip2,21741008,50
bzip2,21741009,50
bzip2,21741010,50
bzip2,21741011,50
bzip2,21741012,50
bzip2,21741013,50
bzip2,21741014,50
bzip2,21741015,50
bzip2,21741016,50
bzip2,21741017,50
bzip2,21741018,50
bzip2,21741019,50
bzip2,21741020,50
bzip2,21741021,50
bzip2,21741022,50
bzip2,21741023,50
bzip2,21741024,50
bzip2,21741025,50
bzip2,21741026,50
bzip2,21741027,50
bzip2,21741028,50
bzip2,21741029,50
bzip2,21741030,50
bzip2,21741031,50
bzip2,21741032,50
bzip2,21741033,50
bzip2,21741034,48
bzip2,21741035,48
bzip2,21741036,48
bzip2,21741037,48
bzip2,21741038,48
bzip2,21741039,48
bzip2,21741040,48
bzip2,21741041,48
bzip2,21741042,48
bzip2,21741043,48
bzip2,21741044,48
bzip2,21741045,46
bzip2,21741046,46
bzip2,21741047,47
bzip2,21741048,47
bzip2,21741049,50
bzip2,21741050,50
bzip2,21741051,50
bzip2,21741052,50
bzip2,21741053,50
bzip2,21741054,50
bzip2,21741055,50
bzip2,21741056,50
bzip2,21741057,50
bzip2,21741058,50
bzip2,21741059,50
bzip2,21741060,50
bzip2,21741061,50
bzip2,21741062,50
bzip2,21741063,50
bzip2,21741064,50
bzip2,21741065,50
bzip2,21741066,50
bzip2,21741067,50
bzip2,21741068,50
bzip2,21741069,50
bzip2,21741070,50
bzip2,21741071,50
bzip2,21741072,50
bzip2,21741073,50
bzip2,21741074,50
bzip2,21741075,50
bzip2,21741076,50
bzip2,21741077,50
bzip2,21741078,50
bzip2,21741079,50
bzip2,21741080,50
bzip2,21741081,50
bzip2,21741082,50
bzip2,21741083,50
bzip2,21741084,50
bzip2,21741085,50
bzip2,21741086,50
bzip2,21741087,50
bzip2,21741088,50
bzip2,21741089,50
bzip2,21741090,50
bzip2,21741091,50
bzip2,21741092,50
bzip2,21741093,50
bzip2,21741094,50
bzip2,21741095,50
bzip2,21741096,50
bzip2,21741097,50
bzip2,21741098,50
bzip2,21741099,50
bzip2,21741100,50
bzip2,21741101,50
bzip2,21741102,50
